id,panel_id,track_id,role,datecreated,datemodified
102,696,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
103,697,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
104,698,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
105,699,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
108,700,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
109,702,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
110,703,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
111,686,1,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
112,655,7,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
113,666,7,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
114,662,5,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
115,659,7,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
118,631,7,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
119,628,7,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
120,628,5,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
121,622,7,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
122,623,7,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
123,621,3,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
124,607,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
125,602,5,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
126,593,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
127,594,5,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
129,603,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
130,603,3,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
131,604,5,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
132,605,5,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
133,609,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
134,610,5,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
135,611,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
137,612,7,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
138,612,5,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
139,614,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
140,614,3,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
141,615,7,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
142,616,3,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
143,705,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
144,706,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
145,708,7,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
146,709,7,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
147,710,7,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
149,712,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
150,713,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
151,714,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
152,715,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
153,716,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
154,717,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
155,718,5,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
156,719,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
